City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
270,Mahanoro,MG,2020-02-20 20:57:53,-19.9,48.8,80.31,79,100,9.42
271,Batagay,RU,2020-02-20 20:57:53,67.63,134.63,-12.91,85,100,5.21
272,Matagami,CA,2020-02-20 20:53:45,49.75,-77.63,10.4,46,75,12.75
273,Tura,IN,2020-02-20 20:54:38,25.52,90.22,63.72,44,33,2.73
274,Ibra,OM,2020-02-20 20:55:04,22.69,58.53,67.71,42,56,2.04
275,Nuuk,GL,2020-02-20 20:54:00,64.18,-51.72,8.6,78,40,8.05
276,Lamar,US,2020-02-20 20:57:54,33.67,-95.58,52.0,53,75,17.22
277,Gagra,GE,2020-02-20 20:57:54,43.33,40.22,41.0,93,100,4.47
278,Ancud,CL,2020-02-20 20:53:50,-41.87,-73.82,69.8,37,0,9.17
279,Tual,ID,2020-02-20 20:53:24,-5.67,132.75,82.04,79,99,16.49
280,Skibbereen,IE,2020-02-20 20:57:54,51.55,-9.27,37.4,86,40,10.29
281,Upernavik,GL,2020-02-20 20:53:21,72.79,-56.15,-11.58,99,100,4.09
282,Zhigansk,RU,2020-02-20 20:54:39,66.77,123.37,-7.02,94,100,22.39
283,Tema,GH,2020-02-20 20:57:54,5.67,-0.02,84.2,89,20,9.17
284,Bethel,US,2020-02-20 20:51:53,41.37,-73.41,37.0,29,75,8.05
285,Livramento,BR,2020-02-20 20:57:54,-3.03,-60.18,86.0,66,75,5.82
286,Dikson,RU,2020-02-20 20:53:32,73.51,80.55,-2.0,94,3,14.27
287,Sabana De Torres,CO,2020-02-20 20:57:55,7.39,-73.5,95.0,61,20,9.17
288,Znamenskoye,RU,2020-02-20 20:57:55,57.13,73.83,26.53,96,90,6.85
289,Geraldton,AU,2020-02-20 20:53:28,-28.77,114.6,75.2,78,99,5.82
290,Kahului,US,2020-02-20 20:51:13,20.89,-156.47,78.8,47,20,16.11
291,Tokur,RU,2020-02-20 20:57:55,53.13,132.9,-17.66,99,100,1.77
292,Urucara,BR,2020-02-20 20:57:55,-2.54,-57.76,83.95,69,100,3.58
293,Manono,CD,2020-02-20 20:57:55,-7.3,27.42,70.43,93,46,2.51
294,Rocha,UY,2020-02-20 20:50:26,-34.48,-54.33,64.71,44,73,18.03
295,Komsomolskiy,UZ,2020-02-20 20:53:22,40.43,71.72,35.6,69,0,4.7
296,Kautokeino,NO,2020-02-20 20:57:55,69.01,23.04,18.82,89,100,25.68
297,Longkou,CN,2020-02-20 20:57:56,37.65,120.33,37.99,82,100,10.13
298,Lorengau,PG,2020-02-20 20:53:34,-2.02,147.27,82.9,76,100,12.26
299,Khudumelapye,BW,2020-02-20 20:57:56,-23.88,24.75,76.62,55,99,6.08
300,Mashivka,UA,2020-02-20 20:57:56,49.44,34.87,30.7,84,100,5.48
301,Aasiaat,GL,2020-02-20 20:57:56,68.71,-52.87,-6.09,94,100,5.08
302,Pokhara,NP,2020-02-20 20:57:56,28.23,83.98,54.54,80,0,3.42
303,Saskylakh,RU,2020-02-20 20:54:37,71.92,114.08,-18.9,99,90,3.42
